incentive_id,incentive_title,company_id,company_name,ranking_position,match_score,deterministic_score,reasons
fc065a03-25c4-46d3-8071-a553d27ecae8,"Redução da taxa do IRC para a Região Autónoma da Madeira, relativamente a uma parte da matéria coletável apurada pelas PME",034955aa-07aa-4550-88fd-b60f76a89332,"MUNDOCALMO, LDA",1,0.95,10.0,CAI code 16230 é elegível; Atividade de fabricação de mobiliário é relevante para a promoção regional
fc065a03-25c4-46d3-8071-a553d27ecae8,"Redução da taxa do IRC para a Região Autónoma da Madeira, relativamente a uma parte da matéria coletável apurada pelas PME",6e486370-b6ae-42d5-8776-65e1761da06e,"DANIJO - INDÚSTRIA DE CONFECÇÃO, LDA",2,0.75,10.0,"CAI code 14101, 14102 não é elegível, mas a atividade de confecção é relevante; Tamanho pequeno é aceitável"
fc065a03-25c4-46d3-8071-a553d27ecae8,"Redução da taxa do IRC para a Região Autónoma da Madeira, relativamente a uma parte da matéria coletável apurada pelas PME",030ded51-5550-4740-8f53-6f5045e2091e,"OLICOF - CONSTRUCÕES, LDA",3,0.7,10.0,"CAI code 41200 não é elegível, mas a atividade de construção é relevante; Tamanho médio é aceitável"
fc065a03-25c4-46d3-8071-a553d27ecae8,"Redução da taxa do IRC para a Região Autónoma da Madeira, relativamente a uma parte da matéria coletável apurada pelas PME",0b869770-ce57-4899-a224-c736baf38da6,"IFISH, PRODUÇÃO E COMERCIALIZAÇÃO DE PESCADO, UNIPESSOAL, LDA",4,0.65,10.0,"CAI code 03110 não é elegível, mas a atividade de pesca é relevante; Tamanho pequeno é aceitável"
fc065a03-25c4-46d3-8071-a553d27ecae8,"Redução da taxa do IRC para a Região Autónoma da Madeira, relativamente a uma parte da matéria coletável apurada pelas PME",5e595731-b419-4f0c-b02c-980df77c7d26,"CENTRO DESPORTIVO SQUASH DE VILAMOURA, LDA",5,0.6,10.0,"CAI code 55900 não é elegível, mas a atividade de turismo é relevante; Tamanho pequeno é aceitável"
6569e316-ca9e-40ec-912d-917b634c7af6,"Mobilidade a Pedido (IT)
",034955aa-07aa-4550-88fd-b60f76a89332,"MUNDOCALMO, LDA",1,0.95,47.5,CAE code 16230 está na lista de elegíveis.; Setor de fabricação de móveis pode se alinhar com soluções de mobilidade a pedido.
6569e316-ca9e-40ec-912d-917b634c7af6,"Mobilidade a Pedido (IT)
",c4298838-7411-43c6-9803-41c0e20c4d57,"TRANSPORTELA, LDA",2,0.9,212.5,"CAE code 49410 não é elegível, mas a atividade de transporte é relevante.; Setor de mobilidade/transportes está alinhado com o incentivo."
6569e316-ca9e-40ec-912d-917b634c7af6,"Mobilidade a Pedido (IT)
",66e3c161-5a5f-4bb1-a693-7b1531e604e2,"MANUEL FERNANDO C. MAGALHÃES, UNIPESSOAL, LDA",3,0.85,47.5,"CAE code 45310 não é elegível, mas a atividade de reparação de automóveis é relevante.; Setor de mobilidade/transportes está alinhado com o incentivo."
6569e316-ca9e-40ec-912d-917b634c7af6,"Mobilidade a Pedido (IT)
",7eb5a68a-1f69-42a8-a615-ec4a96245945,"C.R.P.B. - PRODUTOS PARA RAMO AUTOMÓVEL, SOCIEDADE UNIPESSOAL, LDA",4,0.8,47.5,"CAE code 46750 não é elegível, mas a atividade de peças automotivas é relevante.; Setor de mobilidade/transportes está alinhado com o incentivo."
6569e316-ca9e-40ec-912d-917b634c7af6,"Mobilidade a Pedido (IT)
",5e56081a-1e10-448d-b185-be5184a10242,"PRO SENA - EMPRESA PROMOTORA DE SERVIÇOS DE ENSINO, S.A.",5,0.75,47.5,"CAE code 85320 não é elegível, mas a formação profissional pode ser relevante para a mobilidade.; Setor de tecnologia pode se alinhar com soluções de mobilidade a pedido."
8e701de5-237e-411d-a07a-fdb2a72fa586,Formação Públicos Estratégicos na área da Igualdade para pessoas coletivas de direito público,034955aa-07aa-4550-88fd-b60f76a89332,"MUNDOCALMO, LDA",1,0.95,10.0,CAI code 16230 é elegível; Atividade de fabricação de mobiliário pode ser relevante para formação em igualdade
8e701de5-237e-411d-a07a-fdb2a72fa586,Formação Públicos Estratégicos na área da Igualdade para pessoas coletivas de direito público,5e56081a-1e10-448d-b185-be5184a10242,"PRO SENA - EMPRESA PROMOTORA DE SERVIÇOS DE ENSINO, S.A.",2,0.9,10.0,CAI code 85320 é elegível; Atividade de educação e formação profissional está alinhada com o incentivo
8e701de5-237e-411d-a07a-fdb2a72fa586,Formação Públicos Estratégicos na área da Igualdade para pessoas coletivas de direito público,a2292753-f2d7-48f8-af63-af7fb1a15c84,"AS - SERVIÇOS SOCIAIS E DE SAÚDE, LDA",3,0.85,10.0,Atividade de serviços sociais é relevante para a promoção da igualdade; Tamanho pequeno é aceitável
8e701de5-237e-411d-a07a-fdb2a72fa586,Formação Públicos Estratégicos na área da Igualdade para pessoas coletivas de direito público,6e486370-b6ae-42d5-8776-65e1761da06e,"DANIJO - INDÚSTRIA DE CONFECÇÃO, LDA",4,0.8,10.0,CAI codes 14101 e 14102 são relevantes; Atividade de confecção pode incluir formação em igualdade
8e701de5-237e-411d-a07a-fdb2a72fa586,Formação Públicos Estratégicos na área da Igualdade para pessoas coletivas de direito público,030ded51-5550-4740-8f53-6f5045e2091e,"OLICOF - CONSTRUCÕES, LDA",5,0.75,10.0,CAI code 41200 é relevante para construção; Tamanho médio é aceitável
291ed44f-438d-4045-8bb5-4df5674a9401,"Cursos profissionais - ano letivo 2025/2026 - promovidos por escolas profissionais públicas e privadas e por escolas do ensino particular e cooperativo.
",5e56081a-1e10-448d-b185-be5184a10242,"PRO SENA - EMPRESA PROMOTORA DE SERVIÇOS DE ENSINO, S.A.",1,1.0,-2.0,CAE code 85320 é elegível; Setor de educação e formação profissional
291ed44f-438d-4045-8bb5-4df5674a9401,"Cursos profissionais - ano letivo 2025/2026 - promovidos por escolas profissionais públicas e privadas e por escolas do ensino particular e cooperativo.
",034955aa-07aa-4550-88fd-b60f76a89332,"MUNDOCALMO, LDA",2,0.85,-2.0,CAE code 16230 é elegível; Atividade de fabricação de mobiliário pode ser relevante para escolas
291ed44f-438d-4045-8bb5-4df5674a9401,"Cursos profissionais - ano letivo 2025/2026 - promovidos por escolas profissionais públicas e privadas e por escolas do ensino particular e cooperativo.
",6e486370-b6ae-42d5-8776-65e1761da06e,"DANIJO - INDÚSTRIA DE CONFECÇÃO, LDA",3,0.75,-2.0,Setor de formação profissional pode incluir confecção; Tamanho pequeno é aceitável
291ed44f-438d-4045-8bb5-4df5674a9401,"Cursos profissionais - ano letivo 2025/2026 - promovidos por escolas profissionais públicas e privadas e por escolas do ensino particular e cooperativo.
",030ded51-5550-4740-8f53-6f5045e2091e,"OLICOF - CONSTRUCÕES, LDA",4,0.7,-2.0,Setor de construção pode estar relacionado com formação profissional; Tamanho médio é aceitável
291ed44f-438d-4045-8bb5-4df5674a9401,"Cursos profissionais - ano letivo 2025/2026 - promovidos por escolas profissionais públicas e privadas e por escolas do ensino particular e cooperativo.
",6c972d68-697a-49d6-8a03-0c7909e9b875,"NUNO LUÍS COSTA SOUSA, SOCIEDADE UNIPESSOAL, LDA",5,0.65,-2.0,Setor de instalação pode ser relevante para cursos técnicos; Tamanho micro é aceitável
60ad2f86-275d-47e0-9d65-6564b6523113,SIID – I&D Empresarial - Operações Individuais ou em Copromoção – Roteiros Tecnológicos Big Science,034955aa-07aa-4550-88fd-b60f76a89332,"MUNDOCALMO, LDA",1,0.95,2.5,CAE code 16230 é elegível; Setor de fabricação de mobiliário está alinhado com inovação
60ad2f86-275d-47e0-9d65-6564b6523113,SIID – I&D Empresarial - Operações Individuais ou em Copromoção – Roteiros Tecnológicos Big Science,6e486370-b6ae-42d5-8776-65e1761da06e,"DANIJO - INDÚSTRIA DE CONFECÇÃO, LDA",2,0.8,2.5,CAE code 14101 é relevante para inovação; Atividade de confecção pode incluir inovação em design
60ad2f86-275d-47e0-9d65-6564b6523113,SIID – I&D Empresarial - Operações Individuais ou em Copromoção – Roteiros Tecnológicos Big Science,5e56081a-1e10-448d-b185-be5184a10242,"PRO SENA - EMPRESA PROMOTORA DE SERVIÇOS DE ENSINO, S.A.",3,0.75,2.5,Setor de educação é relevante para investigação; Atividade de formação profissional pode incluir inovação
60ad2f86-275d-47e0-9d65-6564b6523113,SIID – I&D Empresarial - Operações Individuais ou em Copromoção – Roteiros Tecnológicos Big Science,030ded51-5550-4740-8f53-6f5045e2091e,"OLICOF - CONSTRUCÕES, LDA",4,0.7,2.5,Setor de construção pode incluir inovação; Tamanho médio é aceitável para o incentivo
60ad2f86-275d-47e0-9d65-6564b6523113,SIID – I&D Empresarial - Operações Individuais ou em Copromoção – Roteiros Tecnológicos Big Science,0b869770-ce57-4899-a224-c736baf38da6,"IFISH, PRODUÇÃO E COMERCIALIZAÇÃO DE PESCADO, UNIPESSOAL, LDA",5,0.65,2.5,Atividade de pesca pode incluir inovação em métodos de produção; Setor de alimentação é relevante para investigação
8b6e6b66-df25-485e-a20e-d30e082887de,SACCCT - Proteção da propriedade intelectual e industrial,034955aa-07aa-4550-88fd-b60f76a89332,"MUNDOCALMO, LDA",1,0.95,30.0,CAE code 16230 está na lista de elegíveis.; Atividade de fabricação de mobiliário de madeira é relevante para inovação e desenvolvimento.
8b6e6b66-df25-485e-a20e-d30e082887de,SACCCT - Proteção da propriedade intelectual e industrial,5e56081a-1e10-448d-b185-be5184a10242,"PRO SENA - EMPRESA PROMOTORA DE SERVIÇOS DE ENSINO, S.A.",2,0.85,30.0,"Embora não tenha CAE code elegível, a atividade de educação e formação profissional é relevante para I&D.; Tamanho médio e atuação na região Centro são favoráveis."
8b6e6b66-df25-485e-a20e-d30e082887de,SACCCT - Proteção da propriedade intelectual e industrial,6e486370-b6ae-42d5-8776-65e1761da06e,"DANIJO - INDÚSTRIA DE CONFECÇÃO, LDA",3,0.8,30.0,Atividade de confecção pode incluir inovação em design e produção.; Tamanho pequeno e região Centro são adequados.
8b6e6b66-df25-485e-a20e-d30e082887de,SACCCT - Proteção da propriedade intelectual e industrial,7eb5a68a-1f69-42a8-a615-ec4a96245945,"C.R.P.B. - PRODUTOS PARA RAMO AUTOMÓVEL, SOCIEDADE UNIPESSOAL, LDA",4,0.75,30.0,"Embora não tenha CAE code elegível, a atividade de comércio de produtos químicos pode envolver inovação.; Tamanho pequeno e região Norte são favoráveis."
8b6e6b66-df25-485e-a20e-d30e082887de,SACCCT - Proteção da propriedade intelectual e industrial,030ded51-5550-4740-8f53-6f5045e2091e,"OLICOF - CONSTRUCÕES, LDA",5,0.7,30.0,Atividade de construção pode incluir inovações em técnicas e materiais.; Tamanho médio e região Norte são adequados.
a7263e78-c478-4bb2-bed2-a374155a832b,SIID - I&D Empresarial - Proteção da propriedade intelectual e industrial,ab5861be-47c3-434b-bc4a-58e6c59507be,"HOSPITAL VETERINÁRIO DA BICUDA, LDA",1,0.95,62.5,CAE code 75000 está na lista de elegíveis.; Setor de atividade (veterinário) pode alinhar com inovação e proteção de propriedade intelectual.
a7263e78-c478-4bb2-bed2-a374155a832b,SIID - I&D Empresarial - Proteção da propriedade intelectual e industrial,6e486370-b6ae-42d5-8776-65e1761da06e,"DANIJO - INDÚSTRIA DE CONFECÇÃO, LDA",2,0.85,62.5,"CAE code 14101, 14102 não está na lista, mas a atividade pode envolver inovação.; Tamanho da empresa é pequeno, alinhando-se com o público-alvo."
a7263e78-c478-4bb2-bed2-a374155a832b,SIID - I&D Empresarial - Proteção da propriedade intelectual e industrial,5e56081a-1e10-448d-b185-be5184a10242,"PRO SENA - EMPRESA PROMOTORA DE SERVIÇOS DE ENSINO, S.A.",3,0.8,62.5,"CAE code 85320 não está na lista, mas a atividade pode envolver transferência de conhecimento.; Tamanho da empresa é médio, alinhando-se com o público-alvo."
a7263e78-c478-4bb2-bed2-a374155a832b,SIID - I&D Empresarial - Proteção da propriedade intelectual e industrial,6c972d68-697a-49d6-8a03-0c7909e9b875,"NUNO LUÍS COSTA SOUSA, SOCIEDADE UNIPESSOAL, LDA",4,0.75,62.5,"CAE code 43221 não está na lista, mas a atividade pode envolver inovação em serviços.; Tamanho da empresa é micro, alinhando-se com o público-alvo."
a7263e78-c478-4bb2-bed2-a374155a832b,SIID - I&D Empresarial - Proteção da propriedade intelectual e industrial,66e3c161-5a5f-4bb1-a693-7b1531e604e2,"MANUEL FERNANDO C. MAGALHÃES, UNIPESSOAL, LDA",5,0.7,62.5,"CAE code 45310 não está na lista, mas a atividade pode envolver inovação em peças automotivas.; Tamanho da empresa é pequeno, alinhando-se com o público-alvo."
b6be9c22-e3be-402c-9b6e-1d5db72c7d10,Sistemas de Informação do PT2030 (2026-2028),034955aa-07aa-4550-88fd-b60f76a89332,"MUNDOCALMO, LDA",1,0.95,-2.0,CAE code 16230 é elegível; Setor de Tecnologia da Informação está alinhado com a atividade de fabricação de mobiliário
b6be9c22-e3be-402c-9b6e-1d5db72c7d10,Sistemas de Informação do PT2030 (2026-2028),5e56081a-1e10-448d-b185-be5184a10242,"PRO SENA - EMPRESA PROMOTORA DE SERVIÇOS DE ENSINO, S.A.",2,0.85,25.5,Atividade de educação e formação profissional é relevante para promotores públicos; Tamanho médio é aceitável para o incentivo
b6be9c22-e3be-402c-9b6e-1d5db72c7d10,Sistemas de Informação do PT2030 (2026-2028),030ded51-5550-4740-8f53-6f5045e2091e,"OLICOF - CONSTRUCÕES, LDA",3,0.8,-2.0,Setor de construção pode ter sinergias com sistemas de informação; Tamanho médio é aceitável para o incentivo
b6be9c22-e3be-402c-9b6e-1d5db72c7d10,Sistemas de Informação do PT2030 (2026-2028),7eb5a68a-1f69-42a8-a615-ec4a96245945,"C.R.P.B. - PRODUTOS PARA RAMO AUTOMÓVEL, SOCIEDADE UNIPESSOAL, LDA",4,0.75,-2.0,CAE code 46750 é relevante para o setor de serviços; Tamanho pequeno é aceitável para o incentivo
b6be9c22-e3be-402c-9b6e-1d5db72c7d10,Sistemas de Informação do PT2030 (2026-2028),a2292753-f2d7-48f8-af63-af7fb1a15c84,"AS - SERVIÇOS SOCIAIS E DE SAÚDE, LDA",5,0.7,-2.0,Atividade de serviços sociais pode se beneficiar de sistemas de informação; Tamanho pequeno é aceitável para o incentivo
